%
% MSNB_N (34.171200 N -77.823400 E)
% The MSBN-N Station is located on the northern end of Masonboro Island, NC. The station is a 10' tower with its meteorological sensor positioned approximately 5.6 feet above the primary sand dune that sits between the station and the shoreline. The station samples continuously at 1 Hz and averages the data every 6 minutes. Data is transmitted every 30 minutes. The installation and maintenance of the station is funded by a grant from the U.S. Army Corps of Engineers and the U.S. Coastal Research Program. Please be cautious in the vicinity of the station and do not climb on the tower or guy wires.
% MSNB_S (34.090600 N -77.867900 E)
% The MSBN-S Station is located on the southern end of Masonboro Island, NC. The station is a 10' tower with its meteorological sensor positioned approximately 8.4 feet above the primary sand dune. The station samples continuously at 1 Hz and averages the data every 6 minutes. Data is transmitted every 30 minutes. The installation and maintenance of the station is funded, in part, by grants from the National Science Foundation and U.S. Coastal Research Program. Please be cautious in the vicinity of the station and do not climb on the tower or guy wires.
%
% MSNB_N Wind speed (m/s) @ 0 m (height)
% MSNB_S Wind from direction (deg N) @ 0 m (height)
%
Time (America/New_York),MSNB_N Wind speed (m/s),MSNB_N Wind speed (m/s) quality,MSNB_S Wind from direction (deg N),MSNB_S Wind from direction (deg N) quality
2022-09-22 00:00,2.59,good,181.50,good
2022-09-22 00:06,2.59,good,179.50,good
2022-09-22 00:12,2.71,good,181.20,good
2022-09-22 00:18,2.48,good,177.10,good
2022-09-22 00:24,2.53,good,177.80,good
2022-09-22 00:30,2.53,good,190.10,good
2022-09-22 00:36,2.21,good,189.30,good
2022-09-22 00:42,1.88,good,194.40,good
2022-09-22 00:48,2.20,good,192.90,good
2022-09-22 00:54,1.95,good,204.70,good
2022-09-22 01:00,1.91,good,200.60,good
2022-09-22 01:06,1.87,good,223.50,good
2022-09-22 01:12,1.61,good,256.00,good
2022-09-22 01:18,1.75,good,271.70,good
2022-09-22 01:24,1.41,good,239.20,good
2022-09-22 01:30,1.27,good,289.40,good
2022-09-22 01:36,0.94,good,305.90,good
2022-09-22 01:42,0.42,good,306.70,good
2022-09-22 01:48,0.89,good,302.00,good
2022-09-22 01:54,0.62,good,291.80,good
2022-09-22 02:00,0.93,good,307.30,good
2022-09-22 02:06,1.11,good,305.40,good
2022-09-22 02:12,1.11,good,305.20,good
2022-09-22 02:18,1.01,good,302.10,good
2022-09-22 02:24,1.08,good,314.30,good
2022-09-22 02:30,1.06,good,315.70,good
2022-09-22 02:36,1.04,good,317.70,good
2022-09-22 02:42,1.10,good,319.10,good
2022-09-22 02:48,1.02,good,280.10,good
2022-09-22 02:54,0.93,good,275.90,good
2022-09-22 03:00,0.68,good,248.10,good
2022-09-22 03:06,1.03,good,258.50,good
2022-09-22 03:12,1.09,good,299.80,good
2022-09-22 03:18,1.06,good,303.90,good
2022-09-22 03:24,1.11,good,302.50,good
2022-09-22 03:30,1.19,good,305.30,good
2022-09-22 03:36,1.23,good,304.10,good
2022-09-22 03:42,1.04,good,302.70,good
2022-09-22 03:48,1.00,good,305.70,good
2022-09-22 03:54,1.08,good,303.80,good
2022-09-22 04:00,1.19,good,300.60,good
2022-09-22 04:06,0.98,good,287.40,good
2022-09-22 04:12,1.18,good,286.50,good
2022-09-22 04:18,1.12,good,297.30,good
2022-09-22 04:24,1.14,good,294.90,good
2022-09-22 04:30,1.23,good,297.90,good
2022-09-22 04:36,0.98,good,275.40,good
2022-09-22 04:42,0.96,good,281.60,good
2022-09-22 04:48,0.97,good,306.60,good
2022-09-22 04:54,1.09,good,306.70,good
2022-09-22 05:00,1.22,good,310.50,good
2022-09-22 05:06,0.78,good,310.50,good
2022-09-22 05:12,0.95,good,293.90,good
2022-09-22 05:18,1.06,good,288.30,good
2022-09-22 05:24,0.86,good,303.80,good
2022-09-22 05:30,1.08,good,299.50,good
2022-09-22 05:36,1.18,good,286.10,good
2022-09-22 05:42,1.27,good,273.60,good
2022-09-22 05:48,1.06,good,270.90,good
2022-09-22 05:54,0.77,good,266.50,good
2022-09-22 06:00,0.86,good,249.00,good
2022-09-22 06:06,1.14,good,266.90,good
2022-09-22 06:12,0.87,good,228.70,good
2022-09-22 06:18,0.84,good,231.10,good
2022-09-22 06:24,0.89,good,244.00,good
2022-09-22 06:30,0.83,good,270.70,good
2022-09-22 06:36,1.11,good,280.90,good
2022-09-22 06:42,1.33,good,299.20,good
2022-09-22 06:48,1.25,good,317.60,good
2022-09-22 06:54,0.99,good,320.50,good
2022-09-22 07:00,1.36,good,315.70,good
2022-09-22 07:06,1.26,good,318.20,good
2022-09-22 07:12,1.20,good,311.90,good
2022-09-22 07:18,1.21,good,297.10,good
2022-09-22 07:24,0.94,good,303.70,good
2022-09-22 07:30,0.86,good,305.20,good
2022-09-22 07:36,0.87,good,297.10,good
2022-09-22 07:42,0.91,good,290.30,good
2022-09-22 07:48,1.06,good,280.70,good
2022-09-22 07:54,1.53,good,290.90,good
2022-09-22 08:00,1.47,good,303.10,good
2022-09-22 08:06,1.54,good,288.70,good
2022-09-22 08:12,1.81,good,296.60,good
2022-09-22 08:18,2.29,good,303.20,good
2022-09-22 08:24,2.34,good,300.00,good
2022-09-22 08:30,2.37,good,295.60,good
2022-09-22 08:36,2.46,good,289.10,good
2022-09-22 08:42,2.44,good,293.10,good
2022-09-22 08:48,2.45,good,294.50,good
2022-09-22 08:54,2.04,good,290.40,good
2022-09-22 09:00,2.18,good,290.90,good
2022-09-22 09:06,1.94,good,291.80,good
2022-09-22 09:12,2.15,good,290.80,good
2022-09-22 09:18,2.42,good,291.00,good
2022-09-22 09:24,2.36,good,292.00,good
2022-09-22 09:30,3.07,good,285.70,good
2022-09-22 09:36,2.72,good,281.60,good
2022-09-22 09:42,2.78,good,280.10,good
2022-09-22 09:48,2.60,good,275.50,good
2022-09-22 09:54,3.09,good,267.40,good
2022-09-22 10:00,3.02,good,271.90,good
2022-09-22 10:06,3.06,good,268.60,good
2022-09-22 10:12,3.14,good,264.30,good
2022-09-22 10:18,3.34,good,255.70,good
2022-09-22 10:24,3.15,good,251.50,good
2022-09-22 10:30,3.26,good,251.60,good
2022-09-22 10:36,3.10,good,246.90,good
2022-09-22 10:42,3.65,good,254.10,good
2022-09-22 10:48,3.33,good,256.20,good
2022-09-22 10:54,3.28,good,264.60,good
2022-09-22 11:00,3.51,good,254.10,good
2022-09-22 11:06,3.29,good,254.00,good
2022-09-22 11:12,2.94,good,281.00,good
2022-09-22 11:18,3.01,good,285.30,good
2022-09-22 11:24,2.67,good,272.50,good
2022-09-22 11:30,2.50,good,256.50,good
2022-09-22 11:36,3.44,good,257.30,good
2022-09-22 11:42,3.32,good,258.20,good
2022-09-22 11:48,3.01,good,262.60,good
2022-09-22 11:54,3.20,good,251.50,good
2022-09-22 12:00,3.31,good,258.00,good
2022-09-22 12:06,2.66,good,244.00,good
2022-09-22 12:12,2.89,good,246.40,good
2022-09-22 12:18,2.71,good,254.80,good
2022-09-22 12:24,2.90,good,260.40,good
2022-09-22 12:30,2.75,good,243.70,good
2022-09-22 12:36,2.79,good,269.00,good
2022-09-22 12:42,3.35,good,278.20,good
2022-09-22 12:48,2.76,good,291.00,good
2022-09-22 12:54,3.24,good,266.80,good
2022-09-22 13:00,2.60,good,244.80,good
2022-09-22 13:06,2.56,good,230.00,good
2022-09-22 13:12,2.08,good,254.60,good
2022-09-22 13:18,1.94,good,219.60,good
2022-09-22 13:24,2.79,good,251.00,good
2022-09-22 13:30,3.10,good,252.40,good
2022-09-22 13:36,2.39,good,286.50,good
2022-09-22 13:42,1.87,good,281.50,good
2022-09-22 13:48,1.77,good,256.60,good
2022-09-22 13:54,2.77,good,235.60,good
2022-09-22 14:00,1.76,good,235.10,good
2022-09-22 14:06,2.24,good,226.90,good
2022-09-22 14:12,2.95,good,215.00,good
2022-09-22 14:18,2.83,good,205.50,good
2022-09-22 14:24,2.59,good,205.50,good
2022-09-22 14:30,3.72,good,209.20,good
2022-09-22 14:36,4.14,good,207.60,good
2022-09-22 14:42,4.17,good,204.30,good
2022-09-22 14:48,4.14,good,215.50,good
2022-09-22 14:54,4.25,good,220.00,good
2022-09-22 15:00,3.95,good,221.70,good
2022-09-22 15:06,3.57,good,214.90,good
2022-09-22 15:12,4.02,good,238.50,good
2022-09-22 15:18,3.70,good,242.30,good
2022-09-22 15:24,3.82,good,245.00,good
2022-09-22 15:30,3.76,good,233.70,good
2022-09-22 15:36,3.82,good,244.10,good
2022-09-22 15:42,3.31,good,244.20,good
2022-09-22 15:48,3.73,good,241.10,good
2022-09-22 15:54,3.82,good,237.60,good
2022-09-22 16:00,3.75,good,246.00,good
2022-09-22 16:06,3.64,good,239.40,good
2022-09-22 16:12,3.44,good,235.90,good
2022-09-22 16:18,3.02,good,241.10,good
2022-09-22 16:24,3.73,good,243.10,good
2022-09-22 16:30,3.69,good,243.00,good
2022-09-22 16:36,3.43,good,239.20,good
2022-09-22 16:42,3.37,good,243.50,good
2022-09-22 16:48,3.19,good,238.60,good
2022-09-22 16:54,3.60,good,236.00,good
2022-09-22 17:00,3.27,good,235.80,good
2022-09-22 17:06,3.68,good,240.50,good
2022-09-22 17:12,3.76,good,241.50,good
2022-09-22 17:18,4.42,good,240.60,good
2022-09-22 17:24,3.97,good,250.70,good
2022-09-22 17:30,3.35,good,246.60,good
2022-09-22 17:36,4.12,good,249.60,good
2022-09-22 17:42,3.96,good,245.70,good
2022-09-22 17:48,5.21,good,240.30,good
2022-09-22 17:54,4.49,good,242.30,good
2022-09-22 18:00,4.22,good,244.00,good
2022-09-22 18:06,4.50,good,244.00,good
2022-09-22 18:12,4.58,good,244.80,good
2022-09-22 18:18,4.04,good,241.10,good
2022-09-22 18:24,4.22,good,243.90,good
2022-09-22 18:30,5.07,good,247.20,good
2022-09-22 18:36,4.77,good,243.40,good
2022-09-22 18:42,3.92,good,244.80,good
2022-09-22 18:48,4.77,good,244.80,good
2022-09-22 18:54,5.17,good,243.30,good
2022-09-22 19:00,4.48,good,245.40,good
2022-09-22 19:06,5.17,good,251.00,good
2022-09-22 19:12,4.74,good,248.30,good
2022-09-22 19:18,4.88,good,248.70,good
2022-09-22 19:24,5.26,good,247.00,good
2022-09-22 19:30,4.46,good,242.60,good
2022-09-22 19:36,4.47,good,253.80,good
2022-09-22 19:42,4.09,good,253.50,good
2022-09-22 19:48,4.47,good,252.60,good
2022-09-22 19:54,7.59,good,253.30,good
2022-09-22 20:00,5.58,good,293.60,good
2022-09-22 20:06,5.73,good,11.35,good
2022-09-22 20:12,4.17,good,6.91,good
2022-09-22 20:18,2.03,good,355.70,good
2022-09-22 20:24,1.57,good,356.40,good
2022-09-22 20:30,1.20,good,326.70,good
2022-09-22 20:36,0.81,good,311.60,good
2022-09-22 20:42,0.90,good,303.90,good
2022-09-22 20:48,1.36,good,309.10,good
2022-09-22 20:54,1.96,good,314.40,good
2022-09-22 21:00,1.75,good,332.80,good
2022-09-22 21:06,2.09,good,349.10,good
2022-09-22 21:12,2.27,good,341.70,good
2022-09-22 21:18,2.29,good,340.40,good
2022-09-22 21:24,2.35,good,340.90,good
2022-09-22 21:30,2.48,good,336.90,good
2022-09-22 21:36,2.98,good,352.00,good
2022-09-22 21:42,2.98,good,356.00,good
2022-09-22 21:48,3.13,good,353.30,good
2022-09-22 21:54,4.42,good,359.80,good
2022-09-22 22:00,3.57,good,0.17,good
2022-09-22 22:06,4.59,good,1.56,good
2022-09-22 22:12,4.66,good,3.62,good
2022-09-22 22:18,5.44,good,7.84,good
2022-09-22 22:24,5.17,good,7.47,good
2022-09-22 22:30,5.46,good,10.99,good
2022-09-22 22:36,6.09,good,12.82,good
2022-09-22 22:42,5.83,good,9.85,good
2022-09-22 22:48,5.11,good,6.44,good
2022-09-22 22:54,5.88,good,8.17,good
2022-09-22 23:00,5.58,good,8.27,good
2022-09-22 23:06,5.88,good,4.77,good
2022-09-22 23:12,5.39,good,2.96,good
2022-09-22 23:18,5.22,good,4.06,good
2022-09-22 23:24,4.16,good,6.30,good
2022-09-22 23:30,4.49,good,5.32,good
2022-09-22 23:36,4.55,good,9.11,good
2022-09-22 23:42,4.47,good,7.04,good
2022-09-22 23:48,4.51,good,10.22,good
2022-09-22 23:54,5.01,good,10.71,good
2022-09-23 00:00,5.05,good,13.74,good
2022-09-23 00:06,4.53,good,13.63,good
2022-09-23 00:12,4.52,good,11.98,good
2022-09-23 00:18,4.47,good,15.38,good
2022-09-23 00:24,4.81,good,11.59,good
2022-09-23 00:30,4.36,good,10.21,good
2022-09-23 00:36,4.57,good,9.27,good
2022-09-23 00:42,4.92,good,5.08,good
2022-09-23 00:48,5.20,good,5.75,good
2022-09-23 00:54,5.14,good,6.04,good
2022-09-23 01:00,5.02,good,4.80,good
2022-09-23 01:06,4.51,good,3.85,good
2022-09-23 01:12,4.49,good,4.86,good
2022-09-23 01:18,4.33,good,6.49,good
2022-09-23 01:24,4.44,good,7.22,good
2022-09-23 01:30,4.20,good,7.29,good
2022-09-23 01:36,4.42,good,2.99,good
2022-09-23 01:42,4.66,good,0.84,good
2022-09-23 01:48,4.98,good,3.34,good
2022-09-23 01:54,4.67,good,3.37,good
2022-09-23 02:00,5.17,good,4.18,good
2022-09-23 02:06,4.95,good,3.84,good
2022-09-23 02:12,5.13,good,5.02,good
2022-09-23 02:18,4.91,good,3.82,good
2022-09-23 02:24,4.53,good,4.07,good
2022-09-23 02:30,4.72,good,4.80,good
2022-09-23 02:36,4.58,good,6.88,good
2022-09-23 02:42,4.69,good,3.16,good
2022-09-23 02:48,5.33,good,5.10,good
2022-09-23 02:54,5.03,good,4.74,good
2022-09-23 03:00,5.19,good,5.86,good
2022-09-23 03:06,4.95,good,5.05,good
2022-09-23 03:12,5.30,good,8.26,good
2022-09-23 03:18,5.35,good,10.77,good
2022-09-23 03:24,5.16,good,8.77,good
2022-09-23 03:30,4.56,good,12.53,good
2022-09-23 03:36,5.08,good,17.33,good
2022-09-23 03:42,5.25,good,14.72,good
2022-09-23 03:48,4.94,good,18.82,good
2022-09-23 03:54,4.62,good,18.06,good
2022-09-23 04:00,4.87,good,19.52,good
2022-09-23 04:06,4.99,good,20.59,good
2022-09-23 04:12,4.44,good,19.83,good
2022-09-23 04:18,4.40,good,14.77,good
2022-09-23 04:24,4.79,good,14.34,good
2022-09-23 04:30,4.32,good,15.87,good
2022-09-23 04:36,4.79,good,15.31,good
2022-09-23 04:42,4.52,good,20.79,good
2022-09-23 04:48,4.96,good,17.44,good
2022-09-23 04:54,5.01,good,16.79,good
2022-09-23 05:00,5.19,good,19.89,good
2022-09-23 05:06,4.75,good,21.73,good
2022-09-23 05:12,5.49,good,14.44,good
2022-09-23 05:18,5.36,good,17.22,good
2022-09-23 05:24,6.17,good,19.29,good
2022-09-23 05:30,6.07,good,24.00,good
2022-09-23 05:36,5.48,good,24.76,good
2022-09-23 05:42,6.08,good,26.42,good
2022-09-23 05:48,5.61,good,27.61,good
2022-09-23 05:54,5.28,good,23.17,good
2022-09-23 06:00,5.49,good,24.56,good
2022-09-23 06:06,5.13,good,24.38,good
2022-09-23 06:12,5.11,good,25.98,good
2022-09-23 06:18,5.00,good,24.87,good
2022-09-23 06:24,4.99,good,25.13,good
2022-09-23 06:30,4.33,good,23.81,good
2022-09-23 06:36,4.47,good,21.52,good
2022-09-23 06:42,3.68,good,10.20,good
2022-09-23 06:48,4.14,good,14.18,good
2022-09-23 06:54,4.72,good,16.35,good
2022-09-23 07:00,4.69,good,23.85,good
2022-09-23 07:06,4.91,good,29.19,good
2022-09-23 07:12,4.76,good,28.74,good
2022-09-23 07:18,3.71,good,28.32,good
2022-09-23 07:24,3.22,good,19.62,good
2022-09-23 07:30,2.90,good,15.37,good
2022-09-23 07:36,3.76,good,16.80,good
2022-09-23 07:42,3.89,good,17.87,good
2022-09-23 07:48,3.82,good,27.56,good
2022-09-23 07:54,3.61,good,29.83,good
2022-09-23 08:00,4.02,good,27.56,good
2022-09-23 08:06,3.53,good,24.71,good
2022-09-23 08:12,3.61,good,27.89,good
2022-09-23 08:18,3.92,good,29.59,good
2022-09-23 08:24,4.45,good,30.28,good
2022-09-23 08:30,4.33,good,22.11,good
2022-09-23 08:36,5.05,good,25.06,good
2022-09-23 08:42,5.80,good,33.17,good
2022-09-23 08:48,5.24,good,32.93,good
2022-09-23 08:54,5.05,good,34.02,good
2022-09-23 09:00,5.48,good,36.75,good
2022-09-23 09:06,5.52,good,30.61,good
2022-09-23 09:12,5.76,good,38.63,good
2022-09-23 09:18,5.06,good,31.55,good
2022-09-23 09:24,5.64,good,34.55,good
2022-09-23 09:30,6.51,good,25.63,good
2022-09-23 09:36,5.98,good,31.77,good
2022-09-23 09:42,6.17,good,21.26,good
2022-09-23 09:48,6.28,good,29.85,good
2022-09-23 09:54,5.26,good,28.16,good
2022-09-23 10:00,5.88,good,29.46,good
2022-09-23 10:06,5.54,good,30.21,good
2022-09-23 10:12,5.75,good,30.35,good
2022-09-23 10:18,6.01,good,30.64,good
2022-09-23 10:24,6.49,good,28.29,good
2022-09-23 10:30,5.70,good,28.55,good
2022-09-23 10:36,5.77,good,12.10,good
2022-09-23 10:42,5.44,good,14.02,good
2022-09-23 10:48,5.84,good,27.04,good
2022-09-23 10:54,5.44,good,16.72,good
2022-09-23 11:00,5.96,good,17.25,good
2022-09-23 11:06,6.15,good,20.81,good
2022-09-23 11:12,5.56,good,12.47,good
2022-09-23 11:18,5.55,good,12.09,good
2022-09-23 11:24,4.84,good,27.38,good
2022-09-23 11:30,4.61,good,6.86,good
2022-09-23 11:36,5.01,good,17.75,good
2022-09-23 11:42,4.87,good,20.13,good
2022-09-23 11:48,4.99,good,23.08,good
2022-09-23 11:54,4.93,good,4.70,good
2022-09-23 12:00,5.18,good,22.05,good
2022-09-23 12:06,4.96,good,18.34,good
2022-09-23 12:12,4.80,good,27.41,good
2022-09-23 12:18,4.74,good,10.34,good
2022-09-23 12:24,5.26,good,2.92,good
2022-09-23 12:30,5.45,good,9.47,good
2022-09-23 12:36,4.75,good,358.10,good
2022-09-23 12:42,4.44,good,0.34,good
2022-09-23 12:48,4.60,good,14.88,good
2022-09-23 12:54,4.23,good,28.24,good
2022-09-23 13:00,4.08,good,15.03,good
2022-09-23 13:06,4.29,good,5.90,good
2022-09-23 13:12,3.75,good,9.36,good
2022-09-23 13:18,4.22,good,351.90,good
2022-09-23 13:24,4.04,good,1.82,good
2022-09-23 13:30,3.66,good,0.79,good
2022-09-23 13:36,4.23,good,9.64,good
2022-09-23 13:42,4.03,good,25.84,good
2022-09-23 13:48,3.59,good,9.78,good
2022-09-23 13:54,4.03,good,0.95,good
2022-09-23 14:00,3.88,good,351.10,good
2022-09-23 14:06,3.73,good,352.10,good
2022-09-23 14:12,3.42,good,5.25,good
2022-09-23 14:18,3.65,good,348.30,good
2022-09-23 14:24,3.97,good,355.60,good
2022-09-23 14:30,4.69,good,8.03,good
2022-09-23 14:36,4.48,good,0.60,good
2022-09-23 14:42,4.02,good,13.97,good
2022-09-23 14:48,2.79,good,6.50,good
2022-09-23 14:54,3.54,good,350.30,good
2022-09-23 15:00,3.20,good,9.97,good
2022-09-23 15:06,4.26,good,14.37,good
2022-09-23 15:12,3.61,good,3.73,good
2022-09-23 15:18,3.71,good,358.70,good
2022-09-23 15:24,3.59,good,3.99,good
2022-09-23 15:30,4.13,good,15.28,good
2022-09-23 15:36,3.54,good,21.02,good
2022-09-23 15:42,3.29,good,23.77,good
2022-09-23 15:48,2.83,good,22.50,good
2022-09-23 15:54,3.24,good,14.64,good
2022-09-23 16:00,2.87,good,20.19,good
2022-09-23 16:06,3.06,good,4.15,good
2022-09-23 16:12,3.44,good,349.70,good
2022-09-23 16:18,3.86,good,3.28,good
2022-09-23 16:24,3.60,good,1.80,good
2022-09-23 16:30,4.04,good,25.84,good
2022-09-23 16:36,3.28,good,3.56,good
2022-09-23 16:42,2.65,good,16.24,good
2022-09-23 16:48,3.24,good,11.41,good
2022-09-23 16:54,2.87,good,0.08,good
2022-09-23 17:00,3.34,good,352.00,good
2022-09-23 17:06,3.46,good,1.93,good
2022-09-23 17:12,3.45,good,20.94,good
2022-09-23 17:18,3.46,good,7.09,good
2022-09-23 17:24,3.16,good,19.89,good
2022-09-23 17:30,2.99,good,15.81,good
2022-09-23 17:36,3.06,good,13.66,good
2022-09-23 17:42,3.10,good,19.19,good
2022-09-23 17:48,2.74,good,6.77,good
2022-09-23 17:54,2.78,good,7.33,good
2022-09-23 18:00,2.72,good,17.22,good
2022-09-23 18:06,2.63,good,14.11,good
2022-09-23 18:12,3.70,good,16.49,good
2022-09-23 18:18,3.31,good,18.66,good
2022-09-23 18:24,3.01,good,27.16,good
2022-09-23 18:30,3.10,good,19.70,good
2022-09-23 18:36,3.44,good,14.37,good
2022-09-23 18:42,3.01,good,14.24,good
2022-09-23 18:48,3.05,good,17.33,good
2022-09-23 18:54,2.70,good,14.16,good
2022-09-23 19:00,2.56,good,13.05,good
2022-09-23 19:06,2.57,good,15.69,good
2022-09-23 19:12,2.09,good,15.14,good
2022-09-23 19:18,2.12,good,10.47,good
