"Date","Time (LST/LDT)","Wind Speed (m/s)","Wind Dir (deg)","Wind Gust (m/s)","Air Temp (°C)","Baro (mb)","Humidity (%)","Visibility (km)"
"2022/09/22","00:00","3.8","157","4.6","27.4","1013.2","-","-"
"2022/09/22","00:06","4.1","161","4.8","27.4","1013.2","-","-"
"2022/09/22","00:12","4.1","153","4.9","27.4","1013.1","-","-"
"2022/09/22","00:18","3.9","158","4.7","27.4","1013.1","-","-"
"2022/09/22","00:24","4.1","153","4.5","27.3","1013","-","-"
"2022/09/22","00:30","4.2","171","4.6","27.3","1013","-","-"
"2022/09/22","00:36","3.8","170","4.4","27.3","1013","-","-"
"2022/09/22","00:42","3.5","171","4","27.3","1012.9","-","-"
"2022/09/22","00:48","3.9","173","4.6","27.3","1012.8","-","-"
"2022/09/22","00:54","3.9","179","4.3","27.3","1012.8","-","-"
"2022/09/22","01:00","3.6","173","4.1","27.3","1012.7","-","-"
"2022/09/22","01:06","3.5","181","3.9","27.3","1012.7","-","-"
"2022/09/22","01:12","3.3","176","3.5","27.3","1012.7","-","-"
"2022/09/22","01:18","3.6","177","4","27.3","1012.5","-","-"
"2022/09/22","01:24","3.7","172","3.9","27.3","1012.4","-","-"
"2022/09/22","01:30","4.1","175","4.5","27.3","1012.4","-","-"
"2022/09/22","01:36","3.3","189","4.2","27.2","1012.4","-","-"
"2022/09/22","01:42","3.5","181","3.9","27.2","1012.4","-","-"
"2022/09/22","01:48","3.3","178","3.8","27.2","1012.3","-","-"
"2022/09/22","01:54","3.2","180","3.8","27.2","1012.2","-","-"
"2022/09/22","02:00","1.6","226","3.5","26.6","1012.2","-","-"
"2022/09/22","02:06","2","233","2.3","26.5","1012.2","-","-"
"2022/09/22","02:12","1.7","248","2.7","26.2","1012.1","-","-"
"2022/09/22","02:18","1.5","264","2","25.8","1012.1","-","-"
"2022/09/22","02:24","1.4","266","1.9","25.6","1012","-","-"
"2022/09/22","02:30","1.3","266","1.9","25.5","1012","-","-"
"2022/09/22","02:36","1.1","261","1.7","25.3","1011.9","-","-"
"2022/09/22","02:42","1.2","257","1.7","25.3","1011.8","-","-"
"2022/09/22","02:48","1.4","251","1.7","25.3","1011.7","-","-"
"2022/09/22","02:54","1.6","237","2","25.2","1011.5","-","-"
"2022/09/22","03:00","1.5","224","1.9","25.4","1011.5","-","-"
"2022/09/22","03:06","1.6","250","2.1","25.2","1011.5","-","-"
"2022/09/22","03:12","1.3","250","2","25","1011.4","-","-"
"2022/09/22","03:18","1.6","269","2.2","24.9","1011.4","-","-"
"2022/09/22","03:24","1.7","278","2.2","24.7","1011.4","-","-"
"2022/09/22","03:30","2.1","284","2.4","24.6","1011.4","-","-"
"2022/09/22","03:36","2.2","284","2.6","24.6","1011.4","-","-"
"2022/09/22","03:42","2","275","2.5","24.7","1011.3","-","-"
"2022/09/22","03:48","2.2","272","2.6","24.6","1011.2","-","-"
"2022/09/22","03:54","1.8","270","2.4","24.6","1011.1","-","-"
"2022/09/22","04:00","1.8","269","2.2","24.5","1011.1","-","-"
"2022/09/22","04:06","1.8","263","2.4","24.6","1011","-","-"
"2022/09/22","04:12","1.6","265","2","24.6","1011.1","-","-"
"2022/09/22","04:18","1.5","258","1.9","24.7","1011","-","-"
"2022/09/22","04:24","1.9","263","2.3","24.6","1011","-","-"
"2022/09/22","04:30","2","266","2.3","24.6","1011","-","-"
"2022/09/22","04:36","1.5","266","2.1","24.6","1011.1","-","-"
"2022/09/22","04:42","1.3","259","2","24.6","1011.1","-","-"
"2022/09/22","04:48","1","260","1.7","24.7","1011.1","-","-"
"2022/09/22","04:54","1.7","267","2.3","24.5","1011","-","-"
"2022/09/22","05:00","1.7","280","2.2","24.4","1011","-","-"
"2022/09/22","05:06","1.7","278","2.4","24.3","1010.9","-","-"
"2022/09/22","05:12","1.9","278","2.2","24.3","1010.9","-","-"
"2022/09/22","05:18","1.6","281","1.9","24.3","1011","-","-"
"2022/09/22","05:24","1.7","277","1.9","24.2","1011","-","-"
"2022/09/22","05:30","1.6","268","2","24.2","1010.9","-","-"
"2022/09/22","05:36","1.4","270","2","24.3","1010.9","-","-"
"2022/09/22","05:42","1.8","269","2.2","24.2","1010.9","-","-"
"2022/09/22","05:48","1.4","261","2.2","24.2","1010.9","-","-"
"2022/09/22","05:54","1.7","252","2.2","24.2","1011","-","-"
"2022/09/22","06:00","1.9","254","2.4","24.2","1010.9","-","-"
"2022/09/22","06:06","1.8","254","2.3","24.2","1010.8","-","-"
"2022/09/22","06:12","2","229","2.4","24.3","1010.9","-","-"
"2022/09/22","06:18","1.9","216","2.4","24.4","1010.9","-","-"
"2022/09/22","06:24","2","216","2.3","24.5","1011.1","-","-"
"2022/09/22","06:30","1.9","233","2.3","24.5","1011.2","-","-"
"2022/09/22","06:36","1.3","261","2","24.3","1011.3","-","-"
"2022/09/22","06:42","2.1","270","2.5","24.2","1011.3","-","-"
"2022/09/22","06:48","1.8","266","2.6","24","1011.3","-","-"
"2022/09/22","06:54","1.9","255","2.6","24","1011.3","-","-"
"2022/09/22","07:00","2.1","256","2.8","23.9","1011.3","-","-"
"2022/09/22","07:06","1.7","259","3","23.8","1011.2","-","-"
"2022/09/22","07:12","1.8","263","3","23.8","1011.1","-","-"
"2022/09/22","07:18","1.8","257","2.5","23.8","1011.2","-","-"
"2022/09/22","07:24","1.8","248","2.6","23.9","1011.2","-","-"
"2022/09/22","07:30","1.8","257","2.6","23.9","1011.2","-","-"
"2022/09/22","07:36","2","240","2.4","23.9","1011.1","-","-"
"2022/09/22","07:42","2.1","244","2.7","24","1011","-","-"
"2022/09/22","07:48","1.9","253","2.5","24.3","1011","-","-"
"2022/09/22","07:54","1.7","255","2.3","24.5","1011","-","-"
"2022/09/22","08:00","2","241","2.6","24.4","1010.9","-","-"
"2022/09/22","08:06","2.3","256","3","24.5","1010.9","-","-"
"2022/09/22","08:12","2.1","263","3.3","24.7","1011","-","-"
"2022/09/22","08:18","2.8","254","4","24.6","1011","-","-"
